title,placeId,location/lat,location/lng,categoryName,address,comfort_cozy_score,spicy_hot_score,fresh_healthy_score,cheap_budget_score,quick_fast_score
Quỳnh Quán,osm-node-7333832605,20.9735521,105.8202606,Nhà hàng,"Ki ốt 02 D Vinaconex 2, Nghiêm Xuân Yêm, Hoàng Mai, Hà Nội",0.0,0.0,0.0,0.0,0.0
Bún Chả Sinh Từ,osm-node-7516955870,21.014312,105.8195072,Nhà hàng,"10, Phố Hoàng Cầu, Đống Đa, Hà Nội",0.0,0.0,0.0,0.0,0.0
Bún Chả Sinh Từ,osm-node-7516955871,21.0110316,105.8311756,Nhà hàng,"111D1, Phố Đặng Văn Ngữ, Đống Đa, Hà Nội",0.0,0.0,0.0,0.0,0.0
Bún Ngan Cô Tuyết,osm-node-8132877478,21.0100991,105.8263379,Nhà hàng,"25, Ngõ 167 Tây Sơn, Đống Đa, Hà Nội",0.5,0.0,0.0,0.0,0.0
"nhom6,T01-14, Cơm Ngon",osm-node-8346042982,21.0773776,105.7739715,Nhà hàng,"40, Cầu Vồng, Bắc Từ Liêm, Hà Nội",0.0,0.0,0.0,0.0,0.0
"nhom6,T01-16, Ốc Tài Chính",osm-node-8347330261,21.0771875,105.7736319,Nhà hàng,"52, Cầu Vồng, Bắc Từ Liêm, Phường Đức Thắng",0.0,0.0,0.0,0.0,0.0
"nhom6,T01-19, vịt nuongứ Vân Đình",osm-node-8347362707,21.0769205,105.7732674,Nhà hàng,"62, Cầu Vồng, Bắc Từ Liêm, Phường Đức Thắng",0.0,0.0,0.0,0.0,0.0
"nhom6,T01-26, lẩu nướng",osm-node-8347371227,21.0774562,105.7748218,Nhà hàng,"5, Cầu Vồng, Bắc Từ Liêm, Phường Đức Thắng",0.0,0.5,0.0,0.0,0.0
Nhà Hàng Củi,osm-node-8563466265,21.0191661,105.8259313,Nhà hàng,"3, Ngõ 31 Hoàng Cầu, Quận Đống Đa, Hà Nội",0.0,0.0,0.0,0.0,0.0
Cháo Lòng Phố Cổ,osm-node-8631526113,21.0360382,105.8520965,Nhà hàng,"26, Phố Hàng Buồm, Phường Hoàn Kiếm, Hà Nội",0.0,0.0,0.0,0.0,0.0
